name,title,gender,ethnicity,confirmed,link
R. Bruce Dold,Publisher & Editor-in-Chief,male,white,,
Peter Kendall,Managing Editor,male,white,,
Colin McMahon,Associate Editor,male,white,,
George Papajohn,Investigations Editor,male,white,,
Margaret Holt,Standards Editor,female,native american,,
John P. McCormick,Editorial Page Editor,male,white,,
Marie C. Dillon,Deputy Editorial Page Editor,female,white,,
Marcia Lythcott,"Associate Editor, Commentary",female,african american,,
Amy Carr,"Associate Managing Editor, Features",female,white,,
Robin Daughtridge,"Associate Managing Editor, Photography",female,white,,
Mark Jacob,"Associate Managing Editor, Metro",male,white,,
Cristi Kempf,"Associate Managing Editor, Editing & Presentation",female,white,,
Joe Knowles*,"Associate Managing Editor, Sports",male,some hispanic ancestry,,
Mary Ellen Podmolik,"Associate Managing Editor, Business",female,white,,
