name,title,gender,ethnicity,confirmed,link
Davan Maharaj,Editor and Publisher,Male,Indian,yes,
Marc Duvoisin,Managing Editor,Male,White,yes,
Lawrence Ingrassia,Managing Editor,Male,White,yes,
Colin Crawford,Deputy Managing Editor,Male,White,yes,
Megan Garvey,Deputy Managing Editor,Female,White,yes,
Scott Kraft,Deputy Managing Editor,Male,White,yes,
Christina Bellantoni,Assistant Managing Editor,Female,White,yes,
Matt Doig,Assistant Managing Editor,Male,White,yes,
Shelby Grad,Assistant Managing Editor,Female,White,yes,
Mary McNamara,Assistant Managing Editor,Female,White,yes,
Kim Murphy,Assistant Managing Editor,Female,White,yes,
Michael Whitley,Assistant Managing Editor,Male,White,yes,
Nicholas Goldberg,Editorial Page Editor,Male,White,yes,
Juliet Lapidos*,Op-Ed Editor,Female,White,yes,
