title,name,gender,ethnicity,confirmed,link
Executive Editor,Dean Baquet,male,african-american,,
Managing Editor,Joseph Kahn,male,white,,
Deputy Managing Editor,Rebecca Blumenstein,female,white,,
Creative Director,Tom Bodkin,male,white,,
Deputy Managing Editor,Janet Elder,female,,no,https://static01.nyt.com/images/2008/11/04/us/politics/3976_1_six_190x126.jpg
Deputy Managing Editor,Clifford Levy,male,white,,
Deputy Managing Editor,Matthew Purdy,male,white,,
Assistant Editor,Rebecca Corbett,woman,white,,
Assistant Editor,Sam Dolnick,male,white,,
Assistant Editor,Steve Duenes,male,hispanic,,
Assistant Editor,Alexandra MacCallum,female,,,http://www.nytco.com/alex-maccallum-named-head-of-nyt-video/ 
Assistant Editor,Michele McNally,woman,white,,
Assistant Editor,Alison Mitchell,woman,white,,
Assistant Editor,Carolyn Ryan,woman,white,,
Editorial Page Editor,James Bennet,male,white,,
Deputy Editorial Page Editor,James Dao,male,asian-american,,
